"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test attempts to load the GeoServer main page.","1583","Test the GeoServer webapp","tests.00-georchestra-base","Mon Nov 24 04:45:54 UTC 2025","broken","Mon Nov 24 04:45:56 UTC 2025","","test_georchestra_apps","",""
"This test attempts to change Bob Dylan's informations.","12250","test_change_mail_and_password[chromium]","tests.console","Mon Nov 24 04:46:21 UTC 2025","passed","Mon Nov 24 04:46:33 UTC 2025","","test_console","",""
"This test attempts to load the 'create account' page from the Console.","1628","Test the 'create account' interface from the Console","tests.00-georchestra-base","Mon Nov 24 04:45:43 UTC 2025","passed","Mon Nov 24 04:45:45 UTC 2025","","test_georchestra_apps","",""
"This test attempts to load GeoNetwork.","74","Test the Geoserver headers","tests.00-georchestra-base","Mon Nov 24 04:51:00 UTC 2025","passed","Mon Nov 24 04:51:00 UTC 2025","","test_georchestra_headers","",""
"This test attempts to load GeoNetwork.","2536","Test the GeoNetwork webapp","tests.00-georchestra-base","Mon Nov 24 04:45:40 UTC 2025","passed","Mon Nov 24 04:45:43 UTC 2025","","test_georchestra_apps","",""
"This test attempts to load the 'password recovery' page from the Console.","1345","Test the 'password recovery' interface from the Console","tests.00-georchestra-base","Mon Nov 24 04:45:45 UTC 2025","passed","Mon Nov 24 04:45:46 UTC 2025","","test_georchestra_apps","",""
"This test attempts to validate the John Doe user by an admin.","8042","test_validate_created_user[chromium]","tests.console","Mon Nov 24 04:46:12 UTC 2025","passed","Mon Nov 24 04:46:20 UTC 2025","","test_console","",""
"This test attempts to create the John Doe user by an admin.","33173","test_create_user_by_admin[chromium]","tests.console","Mon Nov 24 04:46:48 UTC 2025","broken","Mon Nov 24 04:47:21 UTC 2025","","test_console","",""
"This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed.","5300","Test the DataFeeder webapp","tests.00-georchestra-base","Mon Nov 24 04:45:47 UTC 2025","passed","Mon Nov 24 04:45:52 UTC 2025","","test_georchestra_apps","",""
"This test attempts to change Bob Dylan's roles and add a delagation.","13940","test_roles_and_delegations[chromium]","tests.console","Mon Nov 24 04:46:33 UTC 2025","failed","Mon Nov 24 04:46:47 UTC 2025","","test_console","",""
"This test attempts import a metatadata.","70999","test_import_metadata[chromium]","tests.geonetwork","Mon Nov 24 04:49:48 UTC 2025","failed","Mon Nov 24 04:50:59 UTC 2025","TestEmbedded","test_embedded","",""
"This test attempts to load every GeoNetwork wro4j.","15772","Load GeoNetwork wro4j cache","tests.00-georchestra-base","Mon Nov 24 04:45:24 UTC 2025","passed","Mon Nov 24 04:45:40 UTC 2025","","test_00_check_apps_init","",""
"This test attempts to render a map in an embedded web-component.","0","test_map_embedded[chromium]","tests.geonetwork","Mon Nov 24 04:50:59 UTC 2025","skipped","Mon Nov 24 04:50:59 UTC 2025","TestEmbedded","test_embedded","",""
"Test if data-api response headers contains only one Access-Control-Allow-Origin header.","280","Test the data-api headers","tests.00-georchestra-base","Mon Nov 24 04:50:59 UTC 2025","passed","Mon Nov 24 04:51:00 UTC 2025","","test_georchestra_headers","",""
"This test attempts add a logo to Camptocamp organization","5480","test_upload_organization_logo[chromium]","tests.console","Mon Nov 24 04:47:21 UTC 2025","passed","Mon Nov 24 04:47:27 UTC 2025","","test_console","",""
"This test attempts delete the John Doe user by an admin.","33497","test_delete_user[chromium]","tests.console","Mon Nov 24 04:48:02 UTC 2025","broken","Mon Nov 24 04:48:36 UTC 2025","","test_console","",""
"This test attempts to render a table in an embedded web-component.","0","test_table_embedded[chromium]","tests.geonetwork","Mon Nov 24 04:50:59 UTC 2025","skipped","Mon Nov 24 04:50:59 UTC 2025","TestEmbedded","test_embedded","",""
"This test attempts to load the MapStore landing page.","7193","Test the MapStore webapp","tests.00-georchestra-base","Mon Nov 24 04:45:56 UTC 2025","passed","Mon Nov 24 04:46:03 UTC 2025","","test_georchestra_apps","",""
"This test attempts to create the John Doe user by an admin.","7636","test_create_signup[chromium]","tests.console","Mon Nov 24 04:46:04 UTC 2025","passed","Mon Nov 24 04:46:12 UTC 2025","","test_console","",""
