"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 14 12:13:43 GMT 2025","Wed May 14 12:13:51 GMT 2025","7617","tests.console","test_console","","","","test_validate_created_user[chromium]","This test attempts to validate the John Doe user by an admin."
"broken","Wed May 14 12:19:09 GMT 2025","Wed May 14 12:19:54 GMT 2025","44695","tests.geonetwork","test_embedded","TestEmbedded","","","test_import_metadata[chromium]","This test attempts import a metatadata."
"passed","Wed May 14 12:19:55 GMT 2025","Wed May 14 12:19:58 GMT 2025","2984","tests.00-georchestra-base","test_georchestra_headers","","","","Test the data-api headers","Test if data-api response headers contains only one Access-Control-Allow-Origin header."
"passed","Wed May 14 12:12:48 GMT 2025","Wed May 14 12:12:51 GMT 2025","3712","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoServer webapp","This test attempts to load the GeoServer main page."
"passed","Wed May 14 12:13:01 GMT 2025","Wed May 14 12:13:08 GMT 2025","7382","tests.console","test_console","","","","test_create_signup[chromium]","This test attempts to create the John Doe user by an admin."
"passed","Wed May 14 12:19:58 GMT 2025","Wed May 14 12:19:58 GMT 2025","46","tests.00-georchestra-base","test_georchestra_headers","","","","Test the Geoserver headers","This test attempts to load GeoNetwork."
"passed","Wed May 14 12:13:51 GMT 2025","Wed May 14 12:14:06 GMT 2025","14766","tests.console","test_console","","","","test_change_mail_and_password[chromium]","This test attempts to change Bob Dylan's informations."
"passed","Wed May 14 12:14:06 GMT 2025","Wed May 14 12:14:21 GMT 2025","14205","tests.console","test_console","","","","test_roles_and_delegations[chromium]","This test attempts to change Bob Dylan's roles and add a delagation."
"passed","Wed May 14 12:14:47 GMT 2025","Wed May 14 12:14:54 GMT 2025","6776","tests.console","test_console","","","","test_upload_organization_logo[chromium]","This test attempts add a logo to Camptocamp organization"
"passed","Wed May 14 12:12:14 GMT 2025","Wed May 14 12:12:34 GMT 2025","20147","tests.00-georchestra-base","test_00_check_apps_init","","","","Load GeoNetwork wro4j cache","This test attempts to load every GeoNetwork wro4j."
"passed","Wed May 14 12:12:42 GMT 2025","Wed May 14 12:12:47 GMT 2025","4940","tests.00-georchestra-base","test_georchestra_apps","","","","Test the DataFeeder webapp","This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed."
"passed","Wed May 14 12:14:55 GMT 2025","Wed May 14 12:15:00 GMT 2025","5536","tests.console","test_console","","","","test_delete_user[chromium]","This test attempts delete the John Doe user by an admin."
"skipped","Wed May 14 12:19:55 GMT 2025","Wed May 14 12:19:55 GMT 2025","1","tests.geonetwork","test_embedded","TestEmbedded","","","test_map_embedded[chromium]","This test attempts to render a map in an embedded web-component."
"skipped","Wed May 14 12:19:55 GMT 2025","Wed May 14 12:19:55 GMT 2025","0","tests.geonetwork","test_embedded","TestEmbedded","","","test_table_embedded[chromium]","This test attempts to render a table in an embedded web-component."
"failed","Wed May 14 12:14:35 GMT 2025","Wed May 14 12:14:47 GMT 2025","12079","tests.console","test_console","","","","test_create_user_by_admin[chromium]","This test attempts to create the John Doe user by an admin."
"passed","Wed May 14 12:12:36 GMT 2025","Wed May 14 12:12:39 GMT 2025","3012","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoNetwork webapp","This test attempts to load GeoNetwork."
"passed","Wed May 14 12:12:41 GMT 2025","Wed May 14 12:12:42 GMT 2025","1143","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'password recovery' interface from the Console","This test attempts to load the 'password recovery' page from the Console."
"passed","Wed May 14 12:12:51 GMT 2025","Wed May 14 12:13:00 GMT 2025","8658","tests.00-georchestra-base","test_georchestra_apps","","","","Test the MapStore webapp","This test attempts to load the MapStore landing page."
"failed","Wed May 14 12:16:47 GMT 2025","Wed May 14 12:18:26 GMT 2025","98731","tests.datafeeder","test_ingest_data","","","","test_import_shp_datafeeder[chromium]","This test attempts to load a SHP file through datafeeder and check links."
"passed","Wed May 14 12:12:39 GMT 2025","Wed May 14 12:12:41 GMT 2025","1644","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'create account' interface from the Console","This test attempts to load the 'create account' page from the Console."
