"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 07 04:34:44 GMT 2025","Mon Apr 07 04:34:58 GMT 2025","14288","tests.console","test_console","","","","test_roles_and_delegations[chromium]","This test attempts to change Bob Dylan's roles and add a delagation."
"passed","Mon Apr 07 04:33:30 GMT 2025","Mon Apr 07 04:33:36 GMT 2025","5483","tests.00-georchestra-base","test_georchestra_apps","","","","Test the DataFeeder webapp","This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed."
"broken","Mon Apr 07 04:34:01 GMT 2025","Mon Apr 07 04:34:43 GMT 2025","41691","tests.console","test_console","","","","test_change_mail_and_password[chromium]","This test attempts to change Bob Dylan's informations."
"passed","Mon Apr 07 04:33:47 GMT 2025","Mon Apr 07 04:33:54 GMT 2025","6930","tests.console","test_console","","","","test_create_signup[chromium]","This test attempts to create the John Doe user by an admin."
"failed","Mon Apr 07 04:35:56 GMT 2025","Mon Apr 07 04:36:52 GMT 2025","56760","tests.datafeeder","test_ingest_data","","","","test_import_shp_datafeeder[chromium]","This test attempts to load a SHP file through datafeeder and check links."
"passed","Mon Apr 07 04:33:39 GMT 2025","Mon Apr 07 04:33:46 GMT 2025","6768","tests.00-georchestra-base","test_georchestra_apps","","","","Test the MapStore webapp","This test attempts to load the MapStore landing page."
"failed","Mon Apr 07 04:36:54 GMT 2025","Mon Apr 07 04:36:54 GMT 2025","93","tests.00-georchestra-base","test_georchestra_headers","","","","Test the GeoNetwork webapp","This test attempts to load GeoNetwork."
"passed","Mon Apr 07 04:33:27 GMT 2025","Mon Apr 07 04:33:28 GMT 2025","1447","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'create account' interface from the Console","This test attempts to load the 'create account' page from the Console."
"passed","Mon Apr 07 04:33:54 GMT 2025","Mon Apr 07 04:34:01 GMT 2025","7206","tests.console","test_console","","","","test_validate_created_user[chromium]","This test attempts to validate the John Doe user by an admin."
"passed","Mon Apr 07 04:35:07 GMT 2025","Mon Apr 07 04:35:14 GMT 2025","6363","tests.console","test_console","","","","test_upload_organization_logo[chromium]","This test attempts add a logo to Camptocamp organization"
"passed","Mon Apr 07 04:33:29 GMT 2025","Mon Apr 07 04:33:30 GMT 2025","1160","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'password recovery' interface from the Console","This test attempts to load the 'password recovery' page from the Console."
"passed","Mon Apr 07 04:34:58 GMT 2025","Mon Apr 07 04:35:07 GMT 2025","8505","tests.console","test_console","","","","test_create_user_by_admin[chromium]","This test attempts to create the John Doe user by an admin."
"passed","Mon Apr 07 04:35:14 GMT 2025","Mon Apr 07 04:35:20 GMT 2025","5796","tests.console","test_console","","","","test_delete_user[chromium]","This test attempts delete the John Doe user by an admin."
"passed","Mon Apr 07 04:33:07 GMT 2025","Mon Apr 07 04:33:23 GMT 2025","15469","tests.00-georchestra-base","test_00_check_apps_init","","","","Load GeoNetwork wro4j cache","This test attempts to load every GeoNetwork wro4j."
"passed","Mon Apr 07 04:33:24 GMT 2025","Mon Apr 07 04:33:27 GMT 2025","2798","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoNetwork webapp","This test attempts to load GeoNetwork."
"passed","Mon Apr 07 04:33:36 GMT 2025","Mon Apr 07 04:33:39 GMT 2025","3190","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoServer webapp","This test attempts to load the GeoServer main page."
"passed","Mon Apr 07 04:36:53 GMT 2025","Mon Apr 07 04:36:54 GMT 2025","593","tests.00-georchestra-base","test_georchestra_headers","","","","Test the GeoNetwork webapp","Test if data-api response headers contains only one Access-Control-Allow-Origin header."
