"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 14 12:44:33 GMT 2025","Wed May 14 12:45:47 GMT 2025","73675","tests.geonetwork","test_embedded","TestEmbedded","","","test_import_metadata[chromium]","This test attempts import a metatadata."
"passed","Wed May 14 12:37:49 GMT 2025","Wed May 14 12:37:51 GMT 2025","1598","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'create account' interface from the Console","This test attempts to load the 'create account' page from the Console."
"failed","Wed May 14 12:41:41 GMT 2025","Wed May 14 12:43:20 GMT 2025","98565","tests.datafeeder","test_ingest_data","","","","test_import_shp_datafeeder[chromium]","This test attempts to load a SHP file through datafeeder and check links."
"skipped","Wed May 14 12:45:48 GMT 2025","Wed May 14 12:45:48 GMT 2025","1","tests.geonetwork","test_embedded","TestEmbedded","","","test_table_embedded[chromium]","This test attempts to render a table in an embedded web-component."
"passed","Wed May 14 12:45:50 GMT 2025","Wed May 14 12:45:50 GMT 2025","109","tests.00-georchestra-base","test_georchestra_headers","","","","Test the Geoserver headers","This test attempts to load GeoNetwork."
"failed","Wed May 14 12:39:28 GMT 2025","Wed May 14 12:39:41 GMT 2025","13301","tests.console","test_console","","","","test_create_user_by_admin[chromium]","This test attempts to create the John Doe user by an admin."
"passed","Wed May 14 12:39:00 GMT 2025","Wed May 14 12:39:13 GMT 2025","12518","tests.console","test_console","","","","test_change_mail_and_password[chromium]","This test attempts to change Bob Dylan's informations."
"passed","Wed May 14 12:37:29 GMT 2025","Wed May 14 12:37:44 GMT 2025","15059","tests.00-georchestra-base","test_00_check_apps_init","","","","Load GeoNetwork wro4j cache","This test attempts to load every GeoNetwork wro4j."
"passed","Wed May 14 12:38:52 GMT 2025","Wed May 14 12:39:00 GMT 2025","8063","tests.console","test_console","","","","test_validate_created_user[chromium]","This test attempts to validate the John Doe user by an admin."
"passed","Wed May 14 12:38:05 GMT 2025","Wed May 14 12:38:13 GMT 2025","7896","tests.00-georchestra-base","test_georchestra_apps","","","","Test the MapStore webapp","This test attempts to load the MapStore landing page."
"passed","Wed May 14 12:38:04 GMT 2025","Wed May 14 12:38:05 GMT 2025","1543","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoServer webapp","This test attempts to load the GeoServer main page."
"passed","Wed May 14 12:39:41 GMT 2025","Wed May 14 12:39:48 GMT 2025","6150","tests.console","test_console","","","","test_upload_organization_logo[chromium]","This test attempts add a logo to Camptocamp organization"
"passed","Wed May 14 12:45:48 GMT 2025","Wed May 14 12:45:50 GMT 2025","2384","tests.00-georchestra-base","test_georchestra_headers","","","","Test the data-api headers","Test if data-api response headers contains only one Access-Control-Allow-Origin header."
"passed","Wed May 14 12:38:14 GMT 2025","Wed May 14 12:38:20 GMT 2025","6861","tests.console","test_console","","","","test_create_signup[chromium]","This test attempts to create the John Doe user by an admin."
"passed","Wed May 14 12:37:51 GMT 2025","Wed May 14 12:37:53 GMT 2025","1675","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'password recovery' interface from the Console","This test attempts to load the 'password recovery' page from the Console."
"passed","Wed May 14 12:39:13 GMT 2025","Wed May 14 12:39:27 GMT 2025","13866","tests.console","test_console","","","","test_roles_and_delegations[chromium]","This test attempts to change Bob Dylan's roles and add a delagation."
"skipped","Wed May 14 12:45:48 GMT 2025","Wed May 14 12:45:48 GMT 2025","0","tests.geonetwork","test_embedded","TestEmbedded","","","test_map_embedded[chromium]","This test attempts to render a map in an embedded web-component."
"passed","Wed May 14 12:39:48 GMT 2025","Wed May 14 12:39:54 GMT 2025","6035","tests.console","test_console","","","","test_delete_user[chromium]","This test attempts delete the John Doe user by an admin."
"passed","Wed May 14 12:37:46 GMT 2025","Wed May 14 12:37:49 GMT 2025","3049","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoNetwork webapp","This test attempts to load GeoNetwork."
"passed","Wed May 14 12:37:53 GMT 2025","Wed May 14 12:38:01 GMT 2025","7888","tests.00-georchestra-base","test_georchestra_apps","","","","Test the DataFeeder webapp","This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed."
