"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed.","4685","Test the DataFeeder webapp","tests.00-georchestra-base","Thu Nov 20 19:01:17 UTC 2025","passed","Thu Nov 20 19:01:22 UTC 2025","","test_georchestra_apps","",""
"Test if data-api response headers contains only one Access-Control-Allow-Origin header.","217","Test the data-api headers","tests.00-georchestra-base","Thu Nov 20 19:05:03 UTC 2025","passed","Thu Nov 20 19:05:03 UTC 2025","","test_georchestra_headers","",""
"This test attempts to load the 'create account' page from the Console.","1355","Test the 'create account' interface from the Console","tests.00-georchestra-base","Thu Nov 20 19:01:14 UTC 2025","passed","Thu Nov 20 19:01:16 UTC 2025","","test_georchestra_apps","",""
"This test attempts to render a table in an embedded web-component.","0","test_table_embedded[chromium]","tests.geonetwork","Thu Nov 20 19:05:03 UTC 2025","skipped","Thu Nov 20 19:05:03 UTC 2025","TestEmbedded","test_embedded","",""
"This test attempts to load the 'password recovery' page from the Console.","1187","Test the 'password recovery' interface from the Console","tests.00-georchestra-base","Thu Nov 20 19:01:16 UTC 2025","passed","Thu Nov 20 19:01:17 UTC 2025","","test_georchestra_apps","",""
"This test attempts delete the John Doe user by an admin.","4160","test_delete_user[chromium]","tests.console","Thu Nov 20 19:02:36 UTC 2025","passed","Thu Nov 20 19:02:40 UTC 2025","","test_console","",""
"This test attempts to render a map in an embedded web-component.","0","test_map_embedded[chromium]","tests.geonetwork","Thu Nov 20 19:05:03 UTC 2025","skipped","Thu Nov 20 19:05:03 UTC 2025","TestEmbedded","test_embedded","",""
"This test attempts to load every GeoNetwork wro4j.","13478","Load GeoNetwork wro4j cache","tests.00-georchestra-base","Thu Nov 20 19:00:58 UTC 2025","passed","Thu Nov 20 19:01:11 UTC 2025","","test_00_check_apps_init","",""
"This test attempts to change Bob Dylan's roles and add a delagation.","14216","test_roles_and_delegations[chromium]","tests.console","Thu Nov 20 19:02:00 UTC 2025","passed","Thu Nov 20 19:02:14 UTC 2025","","test_console","",""
"This test attempts to create the John Doe user by an admin.","14026","test_create_user_by_admin[chromium]","tests.console","Thu Nov 20 19:02:15 UTC 2025","failed","Thu Nov 20 19:02:29 UTC 2025","","test_console","",""
"This test attempts to change Bob Dylan's informations.","11513","test_change_mail_and_password[chromium]","tests.console","Thu Nov 20 19:01:48 UTC 2025","passed","Thu Nov 20 19:02:00 UTC 2025","","test_console","",""
"This test attempts to load GeoNetwork.","41","Test the Geoserver headers","tests.00-georchestra-base","Thu Nov 20 19:05:03 UTC 2025","passed","Thu Nov 20 19:05:03 UTC 2025","","test_georchestra_headers","",""
"This test attempts to load GeoNetwork.","2403","Test the GeoNetwork webapp","tests.00-georchestra-base","Thu Nov 20 19:01:12 UTC 2025","passed","Thu Nov 20 19:01:14 UTC 2025","","test_georchestra_apps","",""
"This test attempts add a logo to Camptocamp organization","6237","test_upload_organization_logo[chromium]","tests.console","Thu Nov 20 19:02:29 UTC 2025","passed","Thu Nov 20 19:02:36 UTC 2025","","test_console","",""
"This test attempts import a metatadata.","70852","test_import_metadata[chromium]","tests.geonetwork","Thu Nov 20 19:03:52 UTC 2025","failed","Thu Nov 20 19:05:03 UTC 2025","TestEmbedded","test_embedded","",""
"This test attempts to validate the John Doe user by an admin.","6729","test_validate_created_user[chromium]","tests.console","Thu Nov 20 19:01:41 UTC 2025","passed","Thu Nov 20 19:01:48 UTC 2025","","test_console","",""
"This test attempts to load the GeoServer main page.","1805","Test the GeoServer webapp","tests.00-georchestra-base","Thu Nov 20 19:01:25 UTC 2025","passed","Thu Nov 20 19:01:27 UTC 2025","","test_georchestra_apps","",""
"This test attempts to load the MapStore landing page.","6912","Test the MapStore webapp","tests.00-georchestra-base","Thu Nov 20 19:01:27 UTC 2025","passed","Thu Nov 20 19:01:34 UTC 2025","","test_georchestra_apps","",""
"This test attempts to create the John Doe user by an admin.","6316","test_create_signup[chromium]","tests.console","Thu Nov 20 19:01:34 UTC 2025","passed","Thu Nov 20 19:01:41 UTC 2025","","test_console","",""
