"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test attempts to render a table in an embedded web-component.","0","test_table_embedded[chromium]","tests.geonetwork","Mon May 19 12:20:41 GMT 2025","skipped","Mon May 19 12:20:41 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to load the MapStore landing page.","8216","Test the MapStore webapp","tests.00-georchestra-base","Mon May 19 12:15:43 GMT 2025","passed","Mon May 19 12:15:51 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load GeoNetwork.","85","Test the Geoserver headers","tests.00-georchestra-base","Mon May 19 12:20:42 GMT 2025","passed","Mon May 19 12:20:42 GMT 2025","","test_georchestra_headers","",""
"This test attempts to load a SHP file through datafeeder and check links.","35244","test_import_shp_datafeeder[chromium]","tests.datafeeder","Mon May 19 12:17:38 GMT 2025","broken","Mon May 19 12:18:14 GMT 2025","","test_ingest_data","",""
"This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed.","5599","Test the DataFeeder webapp","tests.00-georchestra-base","Mon May 19 12:15:33 GMT 2025","passed","Mon May 19 12:15:38 GMT 2025","","test_georchestra_apps","",""
"This test attempts to create the John Doe user by an admin.","6128","test_create_signup[chromium]","tests.console","Mon May 19 12:15:51 GMT 2025","passed","Mon May 19 12:15:57 GMT 2025","","test_console","",""
"This test attempts to create the John Doe user by an admin.","14056","test_create_user_by_admin[chromium]","tests.console","Mon May 19 12:16:36 GMT 2025","failed","Mon May 19 12:16:50 GMT 2025","","test_console","",""
"This test attempts add a logo to Camptocamp organization","6480","test_upload_organization_logo[chromium]","tests.console","Mon May 19 12:16:51 GMT 2025","passed","Mon May 19 12:16:57 GMT 2025","","test_console","",""
"This test attempts to validate the John Doe user by an admin.","7153","test_validate_created_user[chromium]","tests.console","Mon May 19 12:15:58 GMT 2025","passed","Mon May 19 12:16:05 GMT 2025","","test_console","",""
"This test attempts to render a map in an embedded web-component.","0","test_map_embedded[chromium]","tests.geonetwork","Mon May 19 12:20:41 GMT 2025","skipped","Mon May 19 12:20:41 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to load every GeoNetwork wro4j.","11328","Load GeoNetwork wro4j cache","tests.00-georchestra-base","Mon May 19 12:15:14 GMT 2025","passed","Mon May 19 12:15:25 GMT 2025","","test_00_check_apps_init","",""
"This test attempts to change Bob Dylan's roles and add a delagation.","15041","test_roles_and_delegations[chromium]","tests.console","Mon May 19 12:16:21 GMT 2025","passed","Mon May 19 12:16:36 GMT 2025","","test_console","",""
"This test attempts to load the 'password recovery' page from the Console.","1469","Test the 'password recovery' interface from the Console","tests.00-georchestra-base","Mon May 19 12:15:31 GMT 2025","passed","Mon May 19 12:15:32 GMT 2025","","test_georchestra_apps","",""
"This test attempts to change Bob Dylan's informations.","14810","test_change_mail_and_password[chromium]","tests.console","Mon May 19 12:16:05 GMT 2025","passed","Mon May 19 12:16:20 GMT 2025","","test_console","",""
"This test attempts to load GeoNetwork.","2959","Test the GeoNetwork webapp","tests.00-georchestra-base","Mon May 19 12:15:26 GMT 2025","passed","Mon May 19 12:15:29 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load the 'create account' page from the Console.","1558","Test the 'create account' interface from the Console","tests.00-georchestra-base","Mon May 19 12:15:29 GMT 2025","passed","Mon May 19 12:15:31 GMT 2025","","test_georchestra_apps","",""
"Test if data-api response headers contains only one Access-Control-Allow-Origin header.","620","Test the data-api headers","tests.00-georchestra-base","Mon May 19 12:20:42 GMT 2025","passed","Mon May 19 12:20:42 GMT 2025","","test_georchestra_headers","",""
"This test attempts import a metatadata.","72386","test_import_metadata[chromium]","tests.geonetwork","Mon May 19 12:19:28 GMT 2025","failed","Mon May 19 12:20:41 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to load the GeoServer main page.","3660","Test the GeoServer webapp","tests.00-georchestra-base","Mon May 19 12:15:39 GMT 2025","passed","Mon May 19 12:15:42 GMT 2025","","test_georchestra_apps","",""
"This test attempts delete the John Doe user by an admin.","5786","test_delete_user[chromium]","tests.console","Mon May 19 12:16:58 GMT 2025","passed","Mon May 19 12:17:03 GMT 2025","","test_console","",""
