"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed.","6167","Test the DataFeeder webapp","tests.00-georchestra-base","Tue Nov 11 02:47:46 UTC 2025","passed","Tue Nov 11 02:47:52 UTC 2025","","test_georchestra_apps","",""
"This test attempts to create the John Doe user by an admin.","33153","test_create_user_by_admin[chromium]","tests.console","Tue Nov 11 02:48:46 UTC 2025","broken","Tue Nov 11 02:49:20 UTC 2025","","test_console","",""
"This test attempts to render a table in an embedded web-component.","4201","test_table_embedded[chromium]","tests.geonetwork","Tue Nov 11 02:50:29 UTC 2025","passed","Tue Nov 11 02:50:33 UTC 2025","TestEmbedded","test_embedded","",""
"This test attempts add a logo to Camptocamp organization","5050","test_upload_organization_logo[chromium]","tests.console","Tue Nov 11 02:49:20 UTC 2025","passed","Tue Nov 11 02:49:25 UTC 2025","","test_console","",""
"This test attempts to load GeoNetwork.","78","Test the Geoserver headers","tests.00-georchestra-base","Tue Nov 11 02:50:33 UTC 2025","passed","Tue Nov 11 02:50:34 UTC 2025","","test_georchestra_headers","",""
"This test attempts to load every GeoNetwork wro4j.","15979","Load GeoNetwork wro4j cache","tests.00-georchestra-base","Tue Nov 11 02:47:22 UTC 2025","passed","Tue Nov 11 02:47:38 UTC 2025","","test_00_check_apps_init","",""
"This test attempts to load the GeoServer main page.","1492","Test the GeoServer webapp","tests.00-georchestra-base","Tue Nov 11 02:47:55 UTC 2025","broken","Tue Nov 11 02:47:57 UTC 2025","","test_georchestra_apps","",""
"This test attempts to validate the John Doe user by an admin.","7238","test_validate_created_user[chromium]","tests.console","Tue Nov 11 02:48:12 UTC 2025","passed","Tue Nov 11 02:48:19 UTC 2025","","test_console","",""
"This test attempts to render a map in an embedded web-component.","6118","test_map_embedded[chromium]","tests.geonetwork","Tue Nov 11 02:50:23 UTC 2025","passed","Tue Nov 11 02:50:29 UTC 2025","TestEmbedded","test_embedded","",""
"This test attempts delete the John Doe user by an admin.","2872","test_delete_user[chromium]","tests.console","Tue Nov 11 02:49:59 UTC 2025","broken","Tue Nov 11 02:50:02 UTC 2025","","test_console","",""
"This test attempts to change Bob Dylan's roles and add a delagation.","13589","test_roles_and_delegations[chromium]","tests.console","Tue Nov 11 02:48:32 UTC 2025","passed","Tue Nov 11 02:48:46 UTC 2025","","test_console","",""
"This test attempts to create the John Doe user by an admin.","6969","test_create_signup[chromium]","tests.console","Tue Nov 11 02:48:05 UTC 2025","passed","Tue Nov 11 02:48:12 UTC 2025","","test_console","",""
"This test attempts to load the MapStore landing page.","7174","Test the MapStore webapp","tests.00-georchestra-base","Tue Nov 11 02:47:57 UTC 2025","passed","Tue Nov 11 02:48:04 UTC 2025","","test_georchestra_apps","",""
"This test attempts to load GeoNetwork.","3241","Test the GeoNetwork webapp","tests.00-georchestra-base","Tue Nov 11 02:47:38 UTC 2025","passed","Tue Nov 11 02:47:42 UTC 2025","","test_georchestra_apps","",""
"This test attempts to load the 'create account' page from the Console.","1797","Test the 'create account' interface from the Console","tests.00-georchestra-base","Tue Nov 11 02:47:42 UTC 2025","passed","Tue Nov 11 02:47:44 UTC 2025","","test_georchestra_apps","",""
"This test attempts import a metatadata.","19168","test_import_metadata[chromium]","tests.geonetwork","Tue Nov 11 02:50:02 UTC 2025","passed","Tue Nov 11 02:50:22 UTC 2025","TestEmbedded","test_embedded","",""
"This test attempts to change Bob Dylan's informations.","12229","test_change_mail_and_password[chromium]","tests.console","Tue Nov 11 02:48:20 UTC 2025","passed","Tue Nov 11 02:48:32 UTC 2025","","test_console","",""
"Test if data-api response headers contains only one Access-Control-Allow-Origin header.","301","Test the data-api headers","tests.00-georchestra-base","Tue Nov 11 02:50:33 UTC 2025","passed","Tue Nov 11 02:50:33 UTC 2025","","test_georchestra_headers","",""
"This test attempts to load the 'password recovery' page from the Console.","1471","Test the 'password recovery' interface from the Console","tests.00-georchestra-base","Tue Nov 11 02:47:44 UTC 2025","passed","Tue Nov 11 02:47:46 UTC 2025","","test_georchestra_apps","",""
