"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 16 14:14:45 GMT 2025","Fri May 16 14:14:54 GMT 2025","8881","tests.geonetwork","test_embedded","TestEmbedded","","","test_map_embedded[chromium]","This test attempts to render a map in an embedded web-component."
"passed","Fri May 16 14:09:43 GMT 2025","Fri May 16 14:09:44 GMT 2025","1132","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'password recovery' interface from the Console","This test attempts to load the 'password recovery' page from the Console."
"failed","Fri May 16 14:10:17 GMT 2025","Fri May 16 14:10:41 GMT 2025","23428","tests.00-georchestra-base","test_georchestra_apps","","","","Test the MapStore webapp","This test attempts to load the MapStore landing page."
"passed","Fri May 16 14:10:41 GMT 2025","Fri May 16 14:10:48 GMT 2025","6893","tests.console","test_console","","","","test_create_signup[chromium]","This test attempts to create the John Doe user by an admin."
"passed","Fri May 16 14:10:56 GMT 2025","Fri May 16 14:11:11 GMT 2025","14783","tests.console","test_console","","","","test_change_mail_and_password[chromium]","This test attempts to change Bob Dylan's informations."
"passed","Fri May 16 14:09:25 GMT 2025","Fri May 16 14:09:37 GMT 2025","11991","tests.00-georchestra-base","test_00_check_apps_init","","","","Load GeoNetwork wro4j cache","This test attempts to load every GeoNetwork wro4j."
"passed","Fri May 16 14:14:10 GMT 2025","Fri May 16 14:14:34 GMT 2025","24047","tests.geonetwork","test_embedded","TestEmbedded","","","test_import_metadata[chromium]","This test attempts import a metatadata."
"passed","Fri May 16 14:09:38 GMT 2025","Fri May 16 14:09:40 GMT 2025","2539","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoNetwork webapp","This test attempts to load GeoNetwork."
"failed","Fri May 16 14:11:27 GMT 2025","Fri May 16 14:11:40 GMT 2025","12845","tests.console","test_console","","","","test_create_user_by_admin[chromium]","This test attempts to create the John Doe user by an admin."
"passed","Fri May 16 14:09:44 GMT 2025","Fri May 16 14:09:49 GMT 2025","5428","tests.00-georchestra-base","test_georchestra_apps","","","","Test the DataFeeder webapp","This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed."
"passed","Fri May 16 14:09:41 GMT 2025","Fri May 16 14:09:42 GMT 2025","1608","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'create account' interface from the Console","This test attempts to load the 'create account' page from the Console."
"passed","Fri May 16 14:10:48 GMT 2025","Fri May 16 14:10:56 GMT 2025","7364","tests.console","test_console","","","","test_validate_created_user[chromium]","This test attempts to validate the John Doe user by an admin."
"passed","Fri May 16 14:09:50 GMT 2025","Fri May 16 14:09:53 GMT 2025","3340","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoServer webapp","This test attempts to load the GeoServer main page."
"passed","Fri May 16 14:15:00 GMT 2025","Fri May 16 14:15:01 GMT 2025","88","tests.00-georchestra-base","test_georchestra_headers","","","","Test the Geoserver headers","This test attempts to load GeoNetwork."
"passed","Fri May 16 14:11:40 GMT 2025","Fri May 16 14:11:47 GMT 2025","6671","tests.console","test_console","","","","test_upload_organization_logo[chromium]","This test attempts add a logo to Camptocamp organization"
"failed","Fri May 16 14:12:29 GMT 2025","Fri May 16 14:14:09 GMT 2025","100359","tests.datafeeder","test_ingest_data","","","","test_import_shp_datafeeder[chromium]","This test attempts to load a SHP file through datafeeder and check links."
"passed","Fri May 16 14:14:58 GMT 2025","Fri May 16 14:15:00 GMT 2025","2019","tests.00-georchestra-base","test_georchestra_headers","","","","Test the data-api headers","Test if data-api response headers contains only one Access-Control-Allow-Origin header."
"passed","Fri May 16 14:14:54 GMT 2025","Fri May 16 14:14:58 GMT 2025","4262","tests.geonetwork","test_embedded","TestEmbedded","","","test_table_embedded[chromium]","This test attempts to render a table in an embedded web-component."
"passed","Fri May 16 14:11:47 GMT 2025","Fri May 16 14:11:53 GMT 2025","5510","tests.console","test_console","","","","test_delete_user[chromium]","This test attempts delete the John Doe user by an admin."
"passed","Fri May 16 14:11:12 GMT 2025","Fri May 16 14:11:26 GMT 2025","14646","tests.console","test_console","","","","test_roles_and_delegations[chromium]","This test attempts to change Bob Dylan's roles and add a delagation."
