"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 04:34:30 GMT 2025","Mon Mar 31 04:34:37 GMT 2025","7799","tests.console","test_console","","","","test_create_signup[chromium]","This test attempts to create the John Doe user by an admin."
"passed","Mon Mar 31 04:33:34 GMT 2025","Mon Mar 31 04:33:45 GMT 2025","11134","tests.00-georchestra-base","test_00_check_apps_init","","","","Load GeoNetwork wro4j cache","This test attempts to load every GeoNetwork wro4j."
"failed","Mon Mar 31 04:37:40 GMT 2025","Mon Mar 31 04:37:40 GMT 2025","70","tests.00-georchestra-base","test_georchestra_headers","","","","Test the GeoNetwork webapp","This test attempts to load GeoNetwork."
"passed","Mon Mar 31 04:37:39 GMT 2025","Mon Mar 31 04:37:40 GMT 2025","594","tests.00-georchestra-base","test_georchestra_headers","","","","Test the GeoNetwork webapp","Test if data-api response headers contains only one Access-Control-Allow-Origin header."
"passed","Mon Mar 31 04:34:38 GMT 2025","Mon Mar 31 04:34:46 GMT 2025","7975","tests.console","test_console","","","","test_validate_created_user[chromium]","This test attempts to validate the John Doe user by an admin."
"passed","Mon Mar 31 04:34:21 GMT 2025","Mon Mar 31 04:34:29 GMT 2025","7741","tests.00-georchestra-base","test_georchestra_apps","","","","Test the MapStore webapp","This test attempts to load the MapStore landing page."
"passed","Mon Mar 31 04:34:11 GMT 2025","Mon Mar 31 04:34:12 GMT 2025","958","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'password recovery' interface from the Console","This test attempts to load the 'password recovery' page from the Console."
"passed","Mon Mar 31 04:34:12 GMT 2025","Mon Mar 31 04:34:17 GMT 2025","4548","tests.00-georchestra-base","test_georchestra_apps","","","","Test the DataFeeder webapp","This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed."
"passed","Mon Mar 31 04:34:46 GMT 2025","Mon Mar 31 04:35:01 GMT 2025","14462","tests.console","test_console","","","","test_change_mail_and_password[chromium]","This test attempts to change Bob Dylan's informations."
"passed","Mon Mar 31 04:34:07 GMT 2025","Mon Mar 31 04:34:10 GMT 2025","2886","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoNetwork webapp","This test attempts to load GeoNetwork."
"passed","Mon Mar 31 04:35:16 GMT 2025","Mon Mar 31 04:35:25 GMT 2025","8910","tests.console","test_console","","","","test_create_user_by_admin[chromium]","This test attempts to create the John Doe user by an admin."
"passed","Mon Mar 31 04:35:32 GMT 2025","Mon Mar 31 04:35:38 GMT 2025","5590","tests.console","test_console","","","","test_delete_user[chromium]","This test attempts delete the John Doe user by an admin."
"failed","Mon Mar 31 04:36:42 GMT 2025","Mon Mar 31 04:37:38 GMT 2025","56857","tests.datafeeder","test_ingest_data","","","","test_import_shp_datafeeder[chromium]","This test attempts to load a SHP file through datafeeder and check links."
"passed","Mon Mar 31 04:34:10 GMT 2025","Mon Mar 31 04:34:11 GMT 2025","1332","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'create account' interface from the Console","This test attempts to load the 'create account' page from the Console."
"passed","Mon Mar 31 04:35:01 GMT 2025","Mon Mar 31 04:35:15 GMT 2025","14109","tests.console","test_console","","","","test_roles_and_delegations[chromium]","This test attempts to change Bob Dylan's roles and add a delagation."
"passed","Mon Mar 31 04:34:17 GMT 2025","Mon Mar 31 04:34:21 GMT 2025","3617","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoServer webapp","This test attempts to load the GeoServer main page."
"passed","Mon Mar 31 04:35:25 GMT 2025","Mon Mar 31 04:35:32 GMT 2025","6745","tests.console","test_console","","","","test_upload_organization_logo[chromium]","This test attempts add a logo to Camptocamp organization"
