"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 19 07:14:37 GMT 2025","Mon May 19 07:14:44 GMT 2025","6711","tests.00-georchestra-base","test_georchestra_apps","","","","Test the DataFeeder webapp","This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed."
"broken","Mon May 19 07:17:56 GMT 2025","Mon May 19 07:18:30 GMT 2025","33383","tests.console","test_console","","","","test_delete_user[chromium]","This test attempts delete the John Doe user by an admin."
"passed","Mon May 19 07:16:23 GMT 2025","Mon May 19 07:16:38 GMT 2025","15330","tests.console","test_console","","","","test_roles_and_delegations[chromium]","This test attempts to change Bob Dylan's roles and add a delagation."
"failed","Mon May 19 07:15:12 GMT 2025","Mon May 19 07:15:36 GMT 2025","23547","tests.00-georchestra-base","test_georchestra_apps","","","","Test the MapStore webapp","This test attempts to load the MapStore landing page."
"failed","Mon May 19 07:22:07 GMT 2025","Mon May 19 07:23:21 GMT 2025","73985","tests.geonetwork","test_embedded","TestEmbedded","","","test_import_metadata[chromium]","This test attempts import a metatadata."
"passed","Mon May 19 07:16:00 GMT 2025","Mon May 19 07:16:08 GMT 2025","7715","tests.console","test_console","","","","test_validate_created_user[chromium]","This test attempts to validate the John Doe user by an admin."
"passed","Mon May 19 07:23:23 GMT 2025","Mon May 19 07:23:24 GMT 2025","101","tests.00-georchestra-base","test_georchestra_headers","","","","Test the Geoserver headers","This test attempts to load GeoNetwork."
"passed","Mon May 19 07:14:15 GMT 2025","Mon May 19 07:14:29 GMT 2025","13634","tests.00-georchestra-base","test_00_check_apps_init","","","","Load GeoNetwork wro4j cache","This test attempts to load every GeoNetwork wro4j."
"skipped","Mon May 19 07:23:22 GMT 2025","Mon May 19 07:23:22 GMT 2025","0","tests.geonetwork","test_embedded","TestEmbedded","","","test_table_embedded[chromium]","This test attempts to render a table in an embedded web-component."
"passed","Mon May 19 07:23:22 GMT 2025","Mon May 19 07:23:23 GMT 2025","1610","tests.00-georchestra-base","test_georchestra_headers","","","","Test the data-api headers","Test if data-api response headers contains only one Access-Control-Allow-Origin header."
"failed","Mon May 19 07:15:48 GMT 2025","Mon May 19 07:16:00 GMT 2025","11721","tests.console","test_console","","","","test_create_signup[chromium]","This test attempts to create the John Doe user by an admin."
"broken","Mon May 19 07:20:18 GMT 2025","Mon May 19 07:20:52 GMT 2025","33982","tests.datafeeder","test_ingest_data","","","","test_import_shp_datafeeder[chromium]","This test attempts to load a SHP file through datafeeder and check links."
"passed","Mon May 19 07:14:29 GMT 2025","Mon May 19 07:14:32 GMT 2025","3048","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoNetwork webapp","This test attempts to load GeoNetwork."
"passed","Mon May 19 07:16:09 GMT 2025","Mon May 19 07:16:22 GMT 2025","13887","tests.console","test_console","","","","test_change_mail_and_password[chromium]","This test attempts to change Bob Dylan's informations."
"passed","Mon May 19 07:14:33 GMT 2025","Mon May 19 07:14:34 GMT 2025","1785","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'create account' interface from the Console","This test attempts to load the 'create account' page from the Console."
"passed","Mon May 19 07:14:35 GMT 2025","Mon May 19 07:14:37 GMT 2025","2069","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'password recovery' interface from the Console","This test attempts to load the 'password recovery' page from the Console."
"skipped","Mon May 19 07:23:22 GMT 2025","Mon May 19 07:23:22 GMT 2025","1","tests.geonetwork","test_embedded","TestEmbedded","","","test_map_embedded[chromium]","This test attempts to render a map in an embedded web-component."
"passed","Mon May 19 07:17:14 GMT 2025","Mon May 19 07:17:21 GMT 2025","6866","tests.console","test_console","","","","test_upload_organization_logo[chromium]","This test attempts add a logo to Camptocamp organization"
"passed","Mon May 19 07:14:44 GMT 2025","Mon May 19 07:14:48 GMT 2025","3947","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoServer webapp","This test attempts to load the GeoServer main page."
"broken","Mon May 19 07:16:39 GMT 2025","Mon May 19 07:17:13 GMT 2025","34132","tests.console","test_console","","","","test_create_user_by_admin[chromium]","This test attempts to create the John Doe user by an admin."
