"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test attempts to load the GeoServer main page.","3358","Test the GeoServer webapp","tests.00-georchestra-base","Mon May 19 10:16:29 GMT 2025","passed","Mon May 19 10:16:32 GMT 2025","","test_georchestra_apps","",""
"This test attempts import a metatadata.","24548","test_import_metadata[chromium]","tests.geonetwork","Mon May 19 10:20:13 GMT 2025","passed","Mon May 19 10:20:38 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to load the 'create account' page from the Console.","1370","Test the 'create account' interface from the Console","tests.00-georchestra-base","Mon May 19 10:16:20 GMT 2025","passed","Mon May 19 10:16:22 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load the MapStore landing page.","6610","Test the MapStore webapp","tests.00-georchestra-base","Mon May 19 10:16:32 GMT 2025","passed","Mon May 19 10:16:39 GMT 2025","","test_georchestra_apps","",""
"This test attempts to change Bob Dylan's informations.","15214","test_change_mail_and_password[chromium]","tests.console","Mon May 19 10:16:54 GMT 2025","passed","Mon May 19 10:17:10 GMT 2025","","test_console","",""
"This test attempts to load a SHP file through datafeeder and check links.","67127","test_import_shp_datafeeder[chromium]","tests.datafeeder","Mon May 19 10:19:05 GMT 2025","failed","Mon May 19 10:20:12 GMT 2025","","test_ingest_data","",""
"This test attempts to create the John Doe user by an admin.","6974","test_create_signup[chromium]","tests.console","Mon May 19 10:16:39 GMT 2025","passed","Mon May 19 10:16:46 GMT 2025","","test_console","",""
"This test attempts to validate the John Doe user by an admin.","7273","test_validate_created_user[chromium]","tests.console","Mon May 19 10:16:47 GMT 2025","passed","Mon May 19 10:16:54 GMT 2025","","test_console","",""
"This test attempts to load GeoNetwork.","2264","Test the GeoNetwork webapp","tests.00-georchestra-base","Mon May 19 10:16:18 GMT 2025","passed","Mon May 19 10:16:20 GMT 2025","","test_georchestra_apps","",""
"Test if data-api response headers contains only one Access-Control-Allow-Origin header.","934","Test the data-api headers","tests.00-georchestra-base","Mon May 19 10:21:17 GMT 2025","passed","Mon May 19 10:21:18 GMT 2025","","test_georchestra_headers","",""
"This test attempts to change Bob Dylan's roles and add a delagation.","13438","test_roles_and_delegations[chromium]","tests.console","Mon May 19 10:17:10 GMT 2025","failed","Mon May 19 10:17:24 GMT 2025","","test_console","",""
"This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed.","5315","Test the DataFeeder webapp","tests.00-georchestra-base","Mon May 19 10:16:23 GMT 2025","passed","Mon May 19 10:16:28 GMT 2025","","test_georchestra_apps","",""
"This test attempts to render a map in an embedded web-component.","9590","test_map_embedded[chromium]","tests.geonetwork","Mon May 19 10:20:48 GMT 2025","failed","Mon May 19 10:20:58 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to create the John Doe user by an admin.","13408","test_create_user_by_admin[chromium]","tests.console","Mon May 19 10:17:24 GMT 2025","failed","Mon May 19 10:17:38 GMT 2025","","test_console","",""
"This test attempts to load the 'password recovery' page from the Console.","1147","Test the 'password recovery' interface from the Console","tests.00-georchestra-base","Mon May 19 10:16:22 GMT 2025","passed","Mon May 19 10:16:23 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load every GeoNetwork wro4j.","14062","Load GeoNetwork wro4j cache","tests.00-georchestra-base","Mon May 19 10:15:42 GMT 2025","passed","Mon May 19 10:15:56 GMT 2025","","test_00_check_apps_init","",""
"This test attempts to load GeoNetwork.","81","Test the Geoserver headers","tests.00-georchestra-base","Mon May 19 10:21:18 GMT 2025","passed","Mon May 19 10:21:18 GMT 2025","","test_georchestra_headers","",""
"This test attempts delete the John Doe user by an admin.","5848","test_delete_user[chromium]","tests.console","Mon May 19 10:17:45 GMT 2025","passed","Mon May 19 10:17:51 GMT 2025","","test_console","",""
"This test attempts to render a table in an embedded web-component.","9338","test_table_embedded[chromium]","tests.geonetwork","Mon May 19 10:21:08 GMT 2025","failed","Mon May 19 10:21:17 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts add a logo to Camptocamp organization","6550","test_upload_organization_logo[chromium]","tests.console","Mon May 19 10:17:38 GMT 2025","passed","Mon May 19 10:17:45 GMT 2025","","test_console","",""
