"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test attempts to validate the John Doe user by an admin.","6225","test_validate_created_user[chromium]","tests.console","Mon Dec 01 05:03:04 UTC 2025","passed","Mon Dec 01 05:03:10 UTC 2025","","test_console","",""
"This test attempts to render a map in an embedded web-component.","1","test_map_embedded[chromium]","tests.geonetwork","Mon Dec 01 05:06:56 UTC 2025","skipped","Mon Dec 01 05:06:56 UTC 2025","TestEmbedded","test_embedded","",""
"This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed.","3325","Test the DataFeeder webapp","tests.00-georchestra-base","Mon Dec 01 05:02:10 UTC 2025","passed","Mon Dec 01 05:02:14 UTC 2025","","test_georchestra_apps","",""
"This test attempts to create the John Doe user by an admin.","6547","test_create_signup[chromium]","tests.console","Mon Dec 01 05:02:22 UTC 2025","passed","Mon Dec 01 05:02:28 UTC 2025","","test_console","",""
"Test if data-api response headers contains only one Access-Control-Allow-Origin header.","217","Test the data-api headers","tests.00-georchestra-base","Mon Dec 01 05:06:56 UTC 2025","passed","Mon Dec 01 05:06:56 UTC 2025","","test_georchestra_headers","",""
"This test attempts to load GeoNetwork.","44","Test the Geoserver headers","tests.00-georchestra-base","Mon Dec 01 05:06:56 UTC 2025","passed","Mon Dec 01 05:06:56 UTC 2025","","test_georchestra_headers","",""
"This test attempts to load every GeoNetwork wro4j.","17735","Load GeoNetwork wro4j cache","tests.00-georchestra-base","Mon Dec 01 05:01:49 UTC 2025","passed","Mon Dec 01 05:02:07 UTC 2025","","test_00_check_apps_init","",""
"This test attempts to change Bob Dylan's informations.","11373","test_change_mail_and_password[chromium]","tests.console","Mon Dec 01 05:03:10 UTC 2025","passed","Mon Dec 01 05:03:22 UTC 2025","","test_console","",""
"This test attempts to load the GeoServer main page.","2358","Test the GeoServer webapp","tests.00-georchestra-base","Mon Dec 01 05:02:14 UTC 2025","passed","Mon Dec 01 05:02:16 UTC 2025","","test_georchestra_apps","",""
"This test attempts import a metatadata.","70697","test_import_metadata[chromium]","tests.geonetwork","Mon Dec 01 05:05:45 UTC 2025","failed","Mon Dec 01 05:06:56 UTC 2025","TestEmbedded","test_embedded","",""
"This test attempts delete the John Doe user by an admin.","4454","test_delete_user[chromium]","tests.console","Mon Dec 01 05:04:29 UTC 2025","passed","Mon Dec 01 05:04:33 UTC 2025","","test_console","",""
"This test attempts to create the John Doe user by an admin.","13031","test_create_user_by_admin[chromium]","tests.console","Mon Dec 01 05:03:35 UTC 2025","failed","Mon Dec 01 05:03:49 UTC 2025","","test_console","",""
"This test attempts to change Bob Dylan's roles and add a delagation.","12842","test_roles_and_delegations[chromium]","tests.console","Mon Dec 01 05:03:22 UTC 2025","passed","Mon Dec 01 05:03:35 UTC 2025","","test_console","",""
"This test attempts add a logo to Camptocamp organization","5732","test_upload_organization_logo[chromium]","tests.console","Mon Dec 01 05:03:49 UTC 2025","passed","Mon Dec 01 05:03:54 UTC 2025","","test_console","",""
"This test attempts to load the 'create account' page from the Console.","893","Test the 'create account' interface from the Console","tests.00-georchestra-base","Mon Dec 01 05:02:09 UTC 2025","passed","Mon Dec 01 05:02:10 UTC 2025","","test_georchestra_apps","",""
"This test attempts to load the MapStore landing page.","4743","Test the MapStore webapp","tests.00-georchestra-base","Mon Dec 01 05:02:16 UTC 2025","passed","Mon Dec 01 05:02:21 UTC 2025","","test_georchestra_apps","",""
"This test attempts to load the 'password recovery' page from the Console.","584","Test the 'password recovery' interface from the Console","tests.00-georchestra-base","Mon Dec 01 05:02:10 UTC 2025","passed","Mon Dec 01 05:02:10 UTC 2025","","test_georchestra_apps","",""
"This test attempts to load GeoNetwork.","1430","Test the GeoNetwork webapp","tests.00-georchestra-base","Mon Dec 01 05:02:07 UTC 2025","passed","Mon Dec 01 05:02:09 UTC 2025","","test_georchestra_apps","",""
"This test attempts to render a table in an embedded web-component.","0","test_table_embedded[chromium]","tests.geonetwork","Mon Dec 01 05:06:56 UTC 2025","skipped","Mon Dec 01 05:06:56 UTC 2025","TestEmbedded","test_embedded","",""
