"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Data API","0","Headers","1","0","","0"
"0","Geoserver","0","Web interface","1","0","","0"
"0","Mapstore","0","Web interface","1","0","","0"
"0","Datafeeder","0","Web interface","1","0","","0"
"0","Geonetwork","0","Web interface","1","0","","0"
"0","Geoserver","0","Headers","1","0","","0"
"1","Console","0","User creation","2","0","","0"
"0","Console","0","User informations change","1","0","","0"
"0","Console","0","Web interface","2","0","","0"
"0","Datafeeder","1","Ingestion","0","0","","0"
"0","Geonetwork-ui","0","Web-component table embedding","0","1","","0"
"0","Console","0","Organization logos","1","0","","0"
"1","Console","0","User deletion","0","0","","0"
"0","Geonetwork-ui","0","Web-component map embedding","0","1","","0"
"0","Console","0","User roles and delegations change","1","0","","0"
"0","Geonetwork","1","Metadata import","0","0","","0"
"0","Geonetwork","0","Wro4j","1","0","","0"
