"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test if data-api response headers contains only one Access-Control-Allow-Origin header.","960","Test the data-api headers","tests.00-georchestra-base","Mon May 19 07:23:33 GMT 2025","passed","Mon May 19 07:23:34 GMT 2025","","test_georchestra_headers","",""
"This test attempts to load the GeoServer main page.","5544","Test the GeoServer webapp","tests.00-georchestra-base","Mon May 19 07:15:22 GMT 2025","passed","Mon May 19 07:15:27 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load the MapStore landing page.","8092","Test the MapStore webapp","tests.00-georchestra-base","Mon May 19 07:15:27 GMT 2025","passed","Mon May 19 07:15:35 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed.","5758","Test the DataFeeder webapp","tests.00-georchestra-base","Mon May 19 07:15:15 GMT 2025","passed","Mon May 19 07:15:21 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load GeoNetwork.","2377","Test the GeoNetwork webapp","tests.00-georchestra-base","Mon May 19 07:15:09 GMT 2025","passed","Mon May 19 07:15:11 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load GeoNetwork.","123","Test the Geoserver headers","tests.00-georchestra-base","Mon May 19 07:23:34 GMT 2025","passed","Mon May 19 07:23:34 GMT 2025","","test_georchestra_headers","",""
"This test attempts to create the John Doe user by an admin.","34238","test_create_user_by_admin[chromium]","tests.console","Mon May 19 07:16:58 GMT 2025","broken","Mon May 19 07:17:32 GMT 2025","","test_console","",""
"This test attempts to change Bob Dylan's informations.","14660","test_change_mail_and_password[chromium]","tests.console","Mon May 19 07:16:28 GMT 2025","passed","Mon May 19 07:16:43 GMT 2025","","test_console","",""
"This test attempts to create the John Doe user by an admin.","7158","test_create_signup[chromium]","tests.console","Mon May 19 07:15:36 GMT 2025","passed","Mon May 19 07:15:43 GMT 2025","","test_console","",""
"This test attempts to load the 'password recovery' page from the Console.","1663","Test the 'password recovery' interface from the Console","tests.00-georchestra-base","Mon May 19 07:15:14 GMT 2025","passed","Mon May 19 07:15:15 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load a SHP file through datafeeder and check links.","100279","test_import_shp_datafeeder[chromium]","tests.datafeeder","Mon May 19 07:19:25 GMT 2025","failed","Mon May 19 07:21:05 GMT 2025","","test_ingest_data","",""
"This test attempts to validate the John Doe user by an admin.","7184","test_validate_created_user[chromium]","tests.console","Mon May 19 07:16:21 GMT 2025","passed","Mon May 19 07:16:28 GMT 2025","","test_console","",""
"This test attempts to render a table in an embedded web-component.","1","test_table_embedded[chromium]","tests.geonetwork","Mon May 19 07:23:33 GMT 2025","skipped","Mon May 19 07:23:33 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to load the 'create account' page from the Console.","1969","Test the 'create account' interface from the Console","tests.00-georchestra-base","Mon May 19 07:15:11 GMT 2025","passed","Mon May 19 07:15:13 GMT 2025","","test_georchestra_apps","",""
"This test attempts add a logo to Camptocamp organization","5362","test_upload_organization_logo[chromium]","tests.console","Mon May 19 07:17:33 GMT 2025","passed","Mon May 19 07:17:38 GMT 2025","","test_console","",""
"This test attempts delete the John Doe user by an admin.","34279","test_delete_user[chromium]","tests.console","Mon May 19 07:18:14 GMT 2025","broken","Mon May 19 07:18:48 GMT 2025","","test_console","",""
"This test attempts to render a map in an embedded web-component.","0","test_map_embedded[chromium]","tests.geonetwork","Mon May 19 07:23:33 GMT 2025","skipped","Mon May 19 07:23:33 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to change Bob Dylan's roles and add a delagation.","13921","test_roles_and_delegations[chromium]","tests.console","Mon May 19 07:16:44 GMT 2025","passed","Mon May 19 07:16:58 GMT 2025","","test_console","",""
"This test attempts import a metatadata.","73365","test_import_metadata[chromium]","tests.geonetwork","Mon May 19 07:22:18 GMT 2025","failed","Mon May 19 07:23:31 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to load every GeoNetwork wro4j.","15074","Load GeoNetwork wro4j cache","tests.00-georchestra-base","Mon May 19 07:14:53 GMT 2025","passed","Mon May 19 07:15:08 GMT 2025","","test_00_check_apps_init","",""
