"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test attempts to load the MapStore landing page.","6963","Test the MapStore webapp","tests.00-georchestra-base","Mon May 19 07:15:48 GMT 2025","passed","Mon May 19 07:15:55 GMT 2025","","test_georchestra_apps","",""
"This test attempts to render a table in an embedded web-component.","9382","test_table_embedded[chromium]","tests.geonetwork","Mon May 19 07:22:42 GMT 2025","failed","Mon May 19 07:22:51 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to load a SHP file through datafeeder and check links.","98422","test_import_shp_datafeeder[chromium]","tests.datafeeder","Mon May 19 07:18:56 GMT 2025","failed","Mon May 19 07:20:35 GMT 2025","","test_ingest_data","",""
"This test attempts to load GeoNetwork.","111","Test the Geoserver headers","tests.00-georchestra-base","Mon May 19 07:22:53 GMT 2025","passed","Mon May 19 07:22:53 GMT 2025","","test_georchestra_headers","",""
"This test attempts import a metatadata.","22996","test_import_metadata[chromium]","tests.geonetwork","Mon May 19 07:21:48 GMT 2025","passed","Mon May 19 07:22:11 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to load the 'create account' page from the Console.","1428","Test the 'create account' interface from the Console","tests.00-georchestra-base","Mon May 19 07:15:13 GMT 2025","passed","Mon May 19 07:15:14 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load GeoNetwork.","2798","Test the GeoNetwork webapp","tests.00-georchestra-base","Mon May 19 07:15:10 GMT 2025","passed","Mon May 19 07:15:13 GMT 2025","","test_georchestra_apps","",""
"This test attempts to render a map in an embedded web-component.","9814","test_map_embedded[chromium]","tests.geonetwork","Mon May 19 07:22:22 GMT 2025","failed","Mon May 19 07:22:32 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to change Bob Dylan's informations.","15227","test_change_mail_and_password[chromium]","tests.console","Mon May 19 07:16:13 GMT 2025","passed","Mon May 19 07:16:28 GMT 2025","","test_console","",""
"This test attempts to create the John Doe user by an admin.","7719","test_create_signup[chromium]","tests.console","Mon May 19 07:15:56 GMT 2025","passed","Mon May 19 07:16:04 GMT 2025","","test_console","",""
"This test attempts to load the GeoServer main page.","3774","Test the GeoServer webapp","tests.00-georchestra-base","Mon May 19 07:15:21 GMT 2025","passed","Mon May 19 07:15:25 GMT 2025","","test_georchestra_apps","",""
"This test attempts add a logo to Camptocamp organization","6497","test_upload_organization_logo[chromium]","tests.console","Mon May 19 07:16:56 GMT 2025","passed","Mon May 19 07:17:03 GMT 2025","","test_console","",""
"This test attempts delete the John Doe user by an admin.","5870","test_delete_user[chromium]","tests.console","Mon May 19 07:17:03 GMT 2025","passed","Mon May 19 07:17:09 GMT 2025","","test_console","",""
"This test attempts to load every GeoNetwork wro4j.","18732","Load GeoNetwork wro4j cache","tests.00-georchestra-base","Mon May 19 07:14:49 GMT 2025","passed","Mon May 19 07:15:07 GMT 2025","","test_00_check_apps_init","",""
"This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed.","5104","Test the DataFeeder webapp","tests.00-georchestra-base","Mon May 19 07:15:16 GMT 2025","passed","Mon May 19 07:15:21 GMT 2025","","test_georchestra_apps","",""
"Test if data-api response headers contains only one Access-Control-Allow-Origin header.","1429","Test the data-api headers","tests.00-georchestra-base","Mon May 19 07:22:51 GMT 2025","passed","Mon May 19 07:22:53 GMT 2025","","test_georchestra_headers","",""
"This test attempts to create the John Doe user by an admin.","12153","test_create_user_by_admin[chromium]","tests.console","Mon May 19 07:16:44 GMT 2025","failed","Mon May 19 07:16:56 GMT 2025","","test_console","",""
"This test attempts to load the 'password recovery' page from the Console.","1118","Test the 'password recovery' interface from the Console","tests.00-georchestra-base","Mon May 19 07:15:14 GMT 2025","passed","Mon May 19 07:15:16 GMT 2025","","test_georchestra_apps","",""
"This test attempts to change Bob Dylan's roles and add a delagation.","14383","test_roles_and_delegations[chromium]","tests.console","Mon May 19 07:16:29 GMT 2025","passed","Mon May 19 07:16:43 GMT 2025","","test_console","",""
"This test attempts to validate the John Doe user by an admin.","8120","test_validate_created_user[chromium]","tests.console","Mon May 19 07:16:04 GMT 2025","passed","Mon May 19 07:16:12 GMT 2025","","test_console","",""
