"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test attempts to load every GeoNetwork wro4j.","13410","Load GeoNetwork wro4j cache","tests.00-georchestra-base","Sun May 18 03:34:24 GMT 2025","passed","Sun May 18 03:34:38 GMT 2025","","test_00_check_apps_init","",""
"This test attempts to change Bob Dylan's roles and add a delagation.","14471","test_roles_and_delegations[chromium]","tests.console","Sun May 18 03:35:35 GMT 2025","passed","Sun May 18 03:35:50 GMT 2025","","test_console","",""
"This test attempts to create the John Doe user by an admin.","13887","test_create_user_by_admin[chromium]","tests.console","Sun May 18 03:35:50 GMT 2025","failed","Sun May 18 03:36:04 GMT 2025","","test_console","",""
"This test attempts to validate the John Doe user by an admin.","7808","test_validate_created_user[chromium]","tests.console","Sun May 18 03:35:12 GMT 2025","passed","Sun May 18 03:35:19 GMT 2025","","test_console","",""
"This test attempts to create the John Doe user by an admin.","8327","test_create_signup[chromium]","tests.console","Sun May 18 03:35:03 GMT 2025","passed","Sun May 18 03:35:11 GMT 2025","","test_console","",""
"This test attempts to load a SHP file through datafeeder and check links.","99986","test_import_shp_datafeeder[chromium]","tests.datafeeder","Sun May 18 03:37:32 GMT 2025","failed","Sun May 18 03:39:12 GMT 2025","","test_ingest_data","",""
"This test attempts delete the John Doe user by an admin.","33483","test_delete_user[chromium]","tests.console","Sun May 18 03:36:22 GMT 2025","broken","Sun May 18 03:36:55 GMT 2025","","test_console","",""
"This test attempts to load the GeoServer main page.","3825","Test the GeoServer webapp","tests.00-georchestra-base","Sun May 18 03:34:50 GMT 2025","passed","Sun May 18 03:34:54 GMT 2025","","test_georchestra_apps","",""
"Test if data-api response headers contains only one Access-Control-Allow-Origin header.","1679","Test the data-api headers","tests.00-georchestra-base","Sun May 18 03:40:33 GMT 2025","passed","Sun May 18 03:40:35 GMT 2025","","test_georchestra_headers","",""
"This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed.","5477","Test the DataFeeder webapp","tests.00-georchestra-base","Sun May 18 03:34:44 GMT 2025","passed","Sun May 18 03:34:50 GMT 2025","","test_georchestra_apps","",""
"This test attempts to render a map in an embedded web-component.","0","test_map_embedded[chromium]","tests.geonetwork","Sun May 18 03:40:33 GMT 2025","skipped","Sun May 18 03:40:33 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to load GeoNetwork.","80","Test the Geoserver headers","tests.00-georchestra-base","Sun May 18 03:40:35 GMT 2025","passed","Sun May 18 03:40:35 GMT 2025","","test_georchestra_headers","",""
"This test attempts import a metatadata.","41485","test_import_metadata[chromium]","tests.geonetwork","Sun May 18 03:39:51 GMT 2025","broken","Sun May 18 03:40:33 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to load the 'password recovery' page from the Console.","1150","Test the 'password recovery' interface from the Console","tests.00-georchestra-base","Sun May 18 03:34:43 GMT 2025","passed","Sun May 18 03:34:44 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load the MapStore landing page.","7946","Test the MapStore webapp","tests.00-georchestra-base","Sun May 18 03:34:54 GMT 2025","passed","Sun May 18 03:35:02 GMT 2025","","test_georchestra_apps","",""
"This test attempts to render a table in an embedded web-component.","0","test_table_embedded[chromium]","tests.geonetwork","Sun May 18 03:40:33 GMT 2025","skipped","Sun May 18 03:40:33 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to load the 'create account' page from the Console.","1410","Test the 'create account' interface from the Console","tests.00-georchestra-base","Sun May 18 03:34:41 GMT 2025","passed","Sun May 18 03:34:43 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load GeoNetwork.","2676","Test the GeoNetwork webapp","tests.00-georchestra-base","Sun May 18 03:34:38 GMT 2025","passed","Sun May 18 03:34:41 GMT 2025","","test_georchestra_apps","",""
"This test attempts to change Bob Dylan's informations.","14715","test_change_mail_and_password[chromium]","tests.console","Sun May 18 03:35:20 GMT 2025","passed","Sun May 18 03:35:35 GMT 2025","","test_console","",""
"This test attempts add a logo to Camptocamp organization","6877","test_upload_organization_logo[chromium]","tests.console","Sun May 18 03:36:05 GMT 2025","passed","Sun May 18 03:36:11 GMT 2025","","test_console","",""
