"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test attempts delete the John Doe user by an admin.","34621","test_delete_user[chromium]","tests.console","Mon May 19 12:17:36 GMT 2025","broken","Mon May 19 12:18:11 GMT 2025","","test_console","",""
"This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed.","7434","Test the DataFeeder webapp","tests.00-georchestra-base","Mon May 19 12:14:35 GMT 2025","passed","Mon May 19 12:14:42 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load every GeoNetwork wro4j.","12261","Load GeoNetwork wro4j cache","tests.00-georchestra-base","Mon May 19 12:14:14 GMT 2025","passed","Mon May 19 12:14:26 GMT 2025","","test_00_check_apps_init","",""
"This test attempts to load GeoNetwork.","40","Test the Geoserver headers","tests.00-georchestra-base","Mon May 19 12:23:16 GMT 2025","passed","Mon May 19 12:23:16 GMT 2025","","test_georchestra_headers","",""
"This test attempts to render a table in an embedded web-component.","0","test_table_embedded[chromium]","tests.geonetwork","Mon May 19 12:23:15 GMT 2025","skipped","Mon May 19 12:23:15 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to load the MapStore landing page.","6458","Test the MapStore webapp","tests.00-georchestra-base","Mon May 19 12:15:12 GMT 2025","passed","Mon May 19 12:15:19 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load a SHP file through datafeeder and check links.","120185","test_import_shp_datafeeder[chromium]","tests.datafeeder","Mon May 19 12:18:47 GMT 2025","failed","Mon May 19 12:20:47 GMT 2025","","test_ingest_data","",""
"This test attempts to validate the John Doe user by an admin.","7654","test_validate_created_user[chromium]","tests.console","Mon May 19 12:15:43 GMT 2025","passed","Mon May 19 12:15:51 GMT 2025","","test_console","",""
"This test attempts to create the John Doe user by an admin.","11055","test_create_signup[chromium]","tests.console","Mon May 19 12:15:31 GMT 2025","failed","Mon May 19 12:15:43 GMT 2025","","test_console","",""
"This test attempts to load GeoNetwork.","3728","Test the GeoNetwork webapp","tests.00-georchestra-base","Mon May 19 12:14:27 GMT 2025","passed","Mon May 19 12:14:31 GMT 2025","","test_georchestra_apps","",""
"This test attempts add a logo to Camptocamp organization","6892","test_upload_organization_logo[chromium]","tests.console","Mon May 19 12:16:53 GMT 2025","passed","Mon May 19 12:17:00 GMT 2025","","test_console","",""
"Test if data-api response headers contains only one Access-Control-Allow-Origin header.","1201","Test the data-api headers","tests.00-georchestra-base","Mon May 19 12:23:15 GMT 2025","passed","Mon May 19 12:23:16 GMT 2025","","test_georchestra_headers","",""
"This test attempts to create the John Doe user by an admin.","33784","test_create_user_by_admin[chromium]","tests.console","Mon May 19 12:16:19 GMT 2025","broken","Mon May 19 12:16:53 GMT 2025","","test_console","",""
"This test attempts to load the 'password recovery' page from the Console.","1442","Test the 'password recovery' interface from the Console","tests.00-georchestra-base","Mon May 19 12:14:33 GMT 2025","passed","Mon May 19 12:14:35 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load the GeoServer main page.","4430","Test the GeoServer webapp","tests.00-georchestra-base","Mon May 19 12:14:43 GMT 2025","passed","Mon May 19 12:14:47 GMT 2025","","test_georchestra_apps","",""
"This test attempts import a metatadata.","72991","test_import_metadata[chromium]","tests.geonetwork","Mon May 19 12:22:01 GMT 2025","failed","Mon May 19 12:23:14 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to change Bob Dylan's informations.","13088","test_change_mail_and_password[chromium]","tests.console","Mon May 19 12:15:51 GMT 2025","passed","Mon May 19 12:16:04 GMT 2025","","test_console","",""
"This test attempts to render a map in an embedded web-component.","0","test_map_embedded[chromium]","tests.geonetwork","Mon May 19 12:23:15 GMT 2025","skipped","Mon May 19 12:23:15 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to load the 'create account' page from the Console.","1831","Test the 'create account' interface from the Console","tests.00-georchestra-base","Mon May 19 12:14:31 GMT 2025","passed","Mon May 19 12:14:33 GMT 2025","","test_georchestra_apps","",""
"This test attempts to change Bob Dylan's roles and add a delagation.","14280","test_roles_and_delegations[chromium]","tests.console","Mon May 19 12:16:04 GMT 2025","passed","Mon May 19 12:16:19 GMT 2025","","test_console","",""
