"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 19 04:52:47 GMT 2025","Mon May 19 04:52:52 GMT 2025","5668","tests.00-georchestra-base","test_georchestra_apps","","","","Test the DataFeeder webapp","This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed."
"passed","Mon May 19 04:52:57 GMT 2025","Mon May 19 04:53:05 GMT 2025","7786","tests.00-georchestra-base","test_georchestra_apps","","","","Test the MapStore webapp","This test attempts to load the MapStore landing page."
"passed","Mon May 19 04:53:49 GMT 2025","Mon May 19 04:53:56 GMT 2025","7085","tests.console","test_console","","","","test_validate_created_user[chromium]","This test attempts to validate the John Doe user by an admin."
"passed","Mon May 19 04:52:25 GMT 2025","Mon May 19 04:52:40 GMT 2025","15392","tests.00-georchestra-base","test_00_check_apps_init","","","","Load GeoNetwork wro4j cache","This test attempts to load every GeoNetwork wro4j."
"failed","Mon May 19 04:54:14 GMT 2025","Mon May 19 04:54:28 GMT 2025","13326","tests.console","test_console","","","","test_create_user_by_admin[chromium]","This test attempts to create the John Doe user by an admin."
"passed","Mon May 19 04:59:26 GMT 2025","Mon May 19 04:59:27 GMT 2025","89","tests.00-georchestra-base","test_georchestra_headers","","","","Test the Geoserver headers","This test attempts to load GeoNetwork."
"failed","Mon May 19 04:55:17 GMT 2025","Mon May 19 04:56:57 GMT 2025","100174","tests.datafeeder","test_ingest_data","","","","test_import_shp_datafeeder[chromium]","This test attempts to load a SHP file through datafeeder and check links."
"failed","Mon May 19 04:54:06 GMT 2025","Mon May 19 04:54:14 GMT 2025","8099","tests.console","test_console","","","","test_roles_and_delegations[chromium]","This test attempts to change Bob Dylan's roles and add a delagation."
"passed","Mon May 19 04:54:28 GMT 2025","Mon May 19 04:54:35 GMT 2025","6563","tests.console","test_console","","","","test_upload_organization_logo[chromium]","This test attempts add a logo to Camptocamp organization"
"passed","Mon May 19 04:52:53 GMT 2025","Mon May 19 04:52:57 GMT 2025","3791","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoServer webapp","This test attempts to load the GeoServer main page."
"skipped","Mon May 19 04:59:25 GMT 2025","Mon May 19 04:59:25 GMT 2025","0","tests.geonetwork","test_embedded","TestEmbedded","","","test_table_embedded[chromium]","This test attempts to render a table in an embedded web-component."
"passed","Mon May 19 04:53:05 GMT 2025","Mon May 19 04:53:12 GMT 2025","7342","tests.console","test_console","","","","test_create_signup[chromium]","This test attempts to create the John Doe user by an admin."
"passed","Mon May 19 04:59:25 GMT 2025","Mon May 19 04:59:26 GMT 2025","1044","tests.00-georchestra-base","test_georchestra_headers","","","","Test the data-api headers","Test if data-api response headers contains only one Access-Control-Allow-Origin header."
"passed","Mon May 19 04:52:41 GMT 2025","Mon May 19 04:52:43 GMT 2025","2632","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoNetwork webapp","This test attempts to load GeoNetwork."
"passed","Mon May 19 04:52:45 GMT 2025","Mon May 19 04:52:46 GMT 2025","1208","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'password recovery' interface from the Console","This test attempts to load the 'password recovery' page from the Console."
"failed","Mon May 19 04:58:11 GMT 2025","Mon May 19 04:59:25 GMT 2025","73910","tests.geonetwork","test_embedded","TestEmbedded","","","test_import_metadata[chromium]","This test attempts import a metatadata."
"failed","Mon May 19 04:53:56 GMT 2025","Mon May 19 04:54:06 GMT 2025","9572","tests.console","test_console","","","","test_change_mail_and_password[chromium]","This test attempts to change Bob Dylan's informations."
"skipped","Mon May 19 04:59:25 GMT 2025","Mon May 19 04:59:25 GMT 2025","0","tests.geonetwork","test_embedded","TestEmbedded","","","test_map_embedded[chromium]","This test attempts to render a map in an embedded web-component."
"passed","Mon May 19 04:54:35 GMT 2025","Mon May 19 04:54:41 GMT 2025","6063","tests.console","test_console","","","","test_delete_user[chromium]","This test attempts delete the John Doe user by an admin."
"passed","Mon May 19 04:52:44 GMT 2025","Mon May 19 04:52:45 GMT 2025","1333","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'create account' interface from the Console","This test attempts to load the 'create account' page from the Console."
