"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Datafeeder","Web interface","","0","0","1","0","0"
"Geonetwork","Wro4j","","0","0","1","0","0"
"Console","Organization logos","","0","0","1","0","0"
"Console","Web interface","","0","0","2","0","0"
"Data API","Headers","","1","0","0","0","0"
"Console","User creation","","1","0","2","0","0"
"Console","User roles and delegations change","","0","1","0","0","0"
"Datafeeder","Ingestion","","1","0","0","0","0"
"Mapstore","Web interface","","1","0","0","0","0"
"Geoserver","Web interface","","0","0","1","0","0"
"Geonetwork","Web interface","","0","0","1","0","0"
"Geoserver","Headers","","1","0","0","0","0"
"Console","User deletion","","0","0","1","0","0"
"Console","User informations change","","0","0","1","0","0"
