"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Datafeeder","Ingestion","Ingest data in Geonetwork, Geoserver and Data-api","0","1","0","0","0"
"Console","Organization logos","Add logo to organization","0","0","1","0","0"
"Datafeeder","Web interface","Test if web interface is working","0","0","1","0","0"
"Mapstore","Web interface","Test if web interface is working","0","0","1","0","0"
"Console","Web interface","Console","0","0","1","0","0"
"Geonetwork","Wro4j","Load wro4j cache before testing","0","0","1","0","0"
"Console","User creation","Creation of user by an admin","0","1","1","0","0"
"Console","User roles and delegations change","Change bdylan's roles and delegations","1","0","0","0","0"
"Console","User creation","Validation of user by an admin","0","0","1","0","0"
"Console","User deletion","Delete a user by an admin","0","1","0","0","0"
"Console","User informations change","Change email and password from newest user","1","0","0","0","0"
"Console","Web interface","Test if web interface for password recovery is working","0","0","1","0","0"
"Geonetwork","Web interface","Test if web interface is working","0","0","1","0","0"
"Geoserver","Web interface","Test if web interface is working","0","0","1","0","0"
